순위,단어,품사,풀이,등급
1195.0,가게,명,,A
898.0,가격03,명,價格,B
2986.0,가구03,명,家口,C
7434.0,가구04,명,家具,B
4964.0,가까워지다,동,,B
1695.0,가까이,부,,B
3560.0,가까이,명,,B
648.0,가깝다,형,,A
1747.0,가꾸다,동,,B
852.0,가끔,부,,A
5071.0,가난01,명,,C
1716.0,가난하다,형,,B
2757.0,가늘다,형,,B
6942.0,가능,명,可能,C
483.0,가능성,명,可能性,B
501.0,가능하다,형,可能-,B
6003.0,가능해지다,동,可能-,C
25.0,가다01,동,,A
150.0,가다01,보,,A
1196.0,가득01,부,~ 차다,B
3561.0,가득하다01,형,,B
7971.0,가득히,부,,C
3173.0,가라앉다,동,,C
6170.0,가려지다,동,,C
1956.0,가령05,부,假令,C
9014.0,가로01,명,~와 세로,B
5311.0,가로등,명,街路燈,C
4576.0,가로막다,동,,C
8286.0,가로수,명,街路樹,C
2789.0,가루01,명,분필 ~,B
4177.0,가르다,동,,C
698.0,가르치다01,동,,A
2884.0,가르침,명,,C
2913.0,가리다02,동,시야를 ~,B
2305.0,가리다03,동,시비를 ~,B
1367.0,가리키다01,동,,B
9888.0,가만,부,,C
7158.0,가만있다,동,,C
1706.0,가만히,부,,B
4755.0,가뭄,명,,C
1530.0,가방01,명,~을 메다,A
1189.0,가볍다,형,,A
4483.0,가사09,명,歌詞,C
3784.0,가상05,명,假想,C
2000.0,가수11,명,歌手,A
2053.0,가스,명,gas,B
384.0,가슴01,명,,A
3904.0,가슴속,명,,B
6526.0,가요02,명,歌謠,B
264.0,가운데,명,,A
6172.0,가위01,명,기구,B
1268.0,가을01,명,,A
5167.0,가이드,명,guide,B
4397.0,가입,명,加入,C
4484.0,가입자,명,加入者,C
5168.0,가입하다,동,加入-,C
127.0,가장01,부,,A
3454.0,가장07,명,家長,C
715.0,가정06,명,家庭,B
4398.0,가정07,명,假定,C
6349.0,가정교사,명,家庭敎師,C
3512.0,가져가다,동,,B
5704.0,가져다주다,동,,B
1060.0,가져오다,동,,A
409.0,가족01,명,家族,A
5072.0,가죽01,명,,B
2124.0,가지01,명,~를 치다,B
129.0,가지04,의,한 ~,B
94.0,가지다,동,,A
514.0,가지다,보,,A
4668.0,가짜,명,假-,B
550.0,가치06,명,價値,C
3063.0,가치관,명,價値觀,C
8645.0,가톨릭,명,Catholic,C
3099.0,가하다01,동,加-,C
422.0,각01,관,各,B
751.0,각각01,부,各各,B
4178.0,각각01,명,各各,B
2885.0,각국,명,各國,B
3213.0,각기02,부,各其,C
5706.0,각오01,명,覺悟,C
3785.0,각자02,명,各自,B
3562.0,각자02,부,各自,B
815.0,각종,명,各種,B
3905.0,간01,명,음식의 ~을 보다,C
3620.0,간08,명,肝,C
335.0,간10,의,間. 서울과 부산 ~,B
4179.0,간격02,명,間隔,C
1336.0,간단하다02,형,簡單-,B
2987.0,간단히,부,簡單-,B
2187.0,간부05,명,幹部,C
4577.0,간섭,명,干涉,C
8290.0,간식02,명,間食,B
4034.0,간신히,부,艱辛-,C
3100.0,간장01,명,-醬,B
4756.0,간접,명,間接,C
6735.0,간접적,명,間接的,C
3906.0,간판02,명,看板,C
